Year,United States,Australia,Austria,Belgium,Canada,Denmark,France,Germany,Italy,Japan,Netherlands,Norway,Spain,Sweden,Switzerland,United Kingdom
2000,2.5,3,2.1,2.3,2.1,2.2,1.8,1.6,2.3,-0.3,2.1,1.9,2.9,1.5,0.8,3
2001,3.4,4.5,2.4,2.5,2.7,2.9,1.7,1.4,2.5,-0.7,2.3,3.1,3.4,0.9,1.6,3
2002,2.8,4.4,2.7,2.5,2.5,2.4,1.7,1.9,2.7,-0.8,4.2,3,3.6,2.4,1,1.8
2003,1.6,3,1.8,1.6,2.2,2.4,1.9,1.5,2.5,-0.9,3.3,1.3,3.5,2.2,0.6,1.7
2004,2.3,2.7,1.3,1.6,2.8,2.1,2.1,1,2.7,-0.3,2.1,2.5,3,1.9,0.6,2.9
2005,2.7,2.3,2.1,2.1,1.8,1.2,2.1,1.7,2.2,0,1.2,0.4,3,0.4,0.7,3
2006,3.4,2.7,2.3,2.8,2.2,1.8,1.8,1.5,1.9,-0.3,1.7,1.6,3.4,0.5,1.3,2.8
2007,3.2,3.6,1.5,1.8,2,1.9,1.6,1.6,2.1,0.3,1.2,2.3,3.5,1.4,1,3.2
2008,2.8,2.3,2.2,1.8,2.2,1.7,1.5,2.3,1.8,0,1.6,0.8,2.8,2.2,0.7,4.3
2009,3.8,4.4,3.2,4.5,2.3,3.4,2.8,2.6,3.3,1.4,2.5,3.8,4.1,3.4,2.4,4
2010,-0.4,1.8,0.5,-0.1,0.3,1.3,0.1,0.4,0.8,-1.4,1.2,2.1,-0.3,-0.5,-0.5,-0.5
2011,1.6,2.9,1.9,2.2,1.8,2.3,1.5,1.1,1.5,-0.7,1.3,2.5,1.8,1.2,0.7,4.6
2012,3.2,3.3,3.3,3.5,2.9,2.8,2.1,2.3,2.8,-0.3,2.3,1.2,3.2,3,0.3,5.2
